source,year,Tweets_cleaned,Cluster_labels,month,day_of_week,vectors
cnnhealth,2012,holiday depress mental expert charles raison reflect cop strategy,1,12,1,"[0.1723121553659439, -0.5879681706428528, -0.9793348908424377, -0.8025957345962524, 2.0957529544830322, -0.7331737279891968, 3.084002733230591, 1.5767741203308105, 1.324784517288208, -0.575214684009552, 1.3600226640701294, 1.9403342008590698, 1.0376769304275513, -2.736356735229492, 0.10950250178575516, -0.589231014251709, 2.4533333778381348, -0.6724768877029419, -3.3590896129608154, 1.6669964790344238, -1.1567332744598389, -0.261474609375, 2.177663564682007, 2.48832106590271, -1.526012897491455, 0.16968446969985962, 2.416881561279297, 0.9403628706932068, -0.5518164038658142, 0.6393318176269531]"
cnnhealth,2012,terror dust responder increase cancer,2,12,0,"[1.4828991889953613, -0.7192789316177368, -0.10793918371200562, -0.5133993625640869, 0.7503582239151001, 0.40523993968963623, 1.907389521598816, 0.2116423398256302, 0.04555126279592514, 0.8327192068099976, 0.30395928025245667, 0.9373754262924194, 0.0472571961581707, -1.3971929550170898, 0.4597010612487793, -0.5753192901611328, 0.682974636554718, 0.4525124132633209, -0.9833348393440247, 0.6279847025871277, -0.5087762475013733, -0.7711284756660461, 0.3852000832557678, 0.9453296661376953, -0.1490461826324463, -0.20945249497890472, 1.1425397396087646, 0.2808091342449188, 0.5772519111633301, -0.7318679094314575]"
cnnhealth,2012,jdwilson interesting question merry christmas eve santa claus still fat,1,12,0,"[0.8046625852584839, -0.650318443775177, 0.023957839235663414, -0.4762788414955139, 0.6639279127120972, -0.058875445276498795, 1.2435073852539062, 1.1603565216064453, 0.06318753957748413, -0.117587611079216, 0.6218085289001465, 0.6399489045143127, 0.6406591534614563, -1.412161111831665, -0.13458918035030365, -0.8011642694473267, 0.9634794592857361, 0.33326131105422974, -1.4857372045516968, 0.7908149361610413, -0.8894976377487183, -0.035641204565763474, 0.7033565640449524, 1.3778858184814453, 0.039157915860414505, 0.11658193916082382, 0.9193010926246643, 0.4837806522846222, -0.0631151869893074, -0.4824697971343994]"
cnnhealth,2012,late flu shot,1,12,0,"[-0.12969213724136353, -0.8361384868621826, 0.4454960823059082, -0.2171947956085205, 0.3501989245414734, 0.6351664662361145, 0.6665530800819397, -0.12418019026517868, -0.9736858606338501, -0.44302037358283997, 0.7188658714294434, 0.30797460675239563, -0.0807364284992218, -0.6907999515533447, 0.07391230762004852, -0.30495429039001465, 0.7079342603683472, 0.3693219721317291, -0.8588156700134277, 0.6172206997871399, -0.8748575448989868, -0.3310393691062927, 0.23346251249313354, 1.4560796022415161, 0.21023166179656982, 0.5538858771324158, -0.36706575751304626, -0.4901381731033325, 0.044686149805784225, -0.6779466271400452]"
cnnhealth,2012,exconjoined twin reach milestone,1,12,0,"[0.821570873260498, -0.8557792901992798, -0.078316830098629, -0.01138877123594284, 0.362183153629303, 0.17399100959300995, 1.5551267862319946, 0.20821164548397064, -0.1403522491455078, 0.2517448961734772, 0.8625462651252747, 0.9933424592018127, 0.015063104219734669, -1.1975269317626953, -0.04470478370785713, -0.3867183327674866, 0.3997095227241516, 0.16445693373680115, -1.0463457107543945, 0.6585924029350281, -0.33220529556274414, -0.5870198607444763, 0.3456825911998749, 1.0344958305358887, 0.0489317923784256, -0.6372670531272888, 0.8506597876548767, 0.3157452344894409, 0.265531986951828, -0.7253611087799072]"
cnnhealth,2012,adorable alert boy seizure dog,1,12,6,"[-1.1383779048919678, -1.176164150238037, 1.7488032579421997, -0.03546534851193428, -0.37558045983314514, 1.2745460271835327, 0.1623942255973816, 0.27232813835144043, -1.693023920059204, -1.2622692584991455, 1.920684814453125, -0.6442403793334961, 0.18134385347366333, -0.03202661871910095, -0.12363365292549133, -0.5482828617095947, 0.85262131690979, 0.3822351098060608, -0.9403762817382812, 0.2573239505290985, -1.047609806060791, 0.09784934669733047, 0.07437486201524734, 2.0261647701263428, 1.1297297477722168, 1.8540949821472168, -1.0988558530807495, -1.356192946434021, 0.014010057784616947, -1.694062352180481]"
cnnhealth,2012,newton shooting legacy autism backlash time,1,12,6,"[-0.6978565454483032, -1.6185981035232544, 1.0539000034332275, -0.3600071668624878, 0.3423636257648468, 0.7813096642494202, 0.36411893367767334, 1.947670578956604, -1.4851584434509277, -1.5880732536315918, 1.43629789352417, 0.1445419043302536, 0.8258623480796814, -1.0396229028701782, -0.38563433289527893, -1.2541735172271729, 1.0751557350158691, -0.13046826422214508, -1.477500557899475, 0.051267001777887344, -1.7390904426574707, -0.1471666544675827, 0.5539548397064209, 2.5539164543151855, 0.5530932545661926, 1.8535627126693726, -0.3945806622505188, -1.572346806526184, -0.3936515748500824, -1.0112996101379395]"
cnnhealth,2012,eat disorder anxiety rise holiday,1,12,6,"[-0.35161635279655457, -0.9473758339881897, -0.49599766731262207, -0.03714428097009659, -0.20818404853343964, -0.19396759569644928, 0.6964780688285828, -0.2616780698299408, -1.1642025709152222, 0.2678554654121399, 1.1591702699661255, 0.7913552522659302, -0.5907692313194275, 0.028771070763468742, -0.59910649061203, 0.16070178151130676, -0.38505154848098755, 0.041768189519643784, -0.9206444621086121, 0.656029999256134, -0.0020947817247360945, -0.8634864091873169, 0.1228782907128334, 0.6868966221809387, -0.5973103642463684, -0.04161418601870537, -0.19870178401470184, 0.7516528367996216, -0.04640963673591614, -1.4301313161849976]"
cnnhealth,2012,happy holiday unsung hero medicine love tonyyounmd,1,12,5,"[1.151847004890442, 0.3707042932510376, 0.31854844093322754, -0.5325186252593994, 0.32902273535728455, -0.2825290858745575, 1.5325191020965576, -1.0639748573303223, -0.8275476694107056, 2.5463016033172607, 0.47255998849868774, 1.4320749044418335, -0.23082642257213593, -0.8873950242996216, 0.13484779000282288, -0.7512282729148865, -0.42368170619010925, 1.461708426475525, -1.1889628171920776, 0.19507190585136414, 1.462773323059082, -0.20939293503761292, 0.254010409116745, -0.03549870103597641, -0.03518569841980934, -1.0219980478286743, 1.4185899496078491, 1.758143424987793, 1.3651015758514404, -2.481078624725342]"
cnnhealth,2012,experience quirky change society commenter aspergers,1,12,5,"[0.10194715857505798, -0.9698502421379089, 0.6012654900550842, 0.10205608606338501, 0.18990206718444824, 1.1484674215316772, 0.2819400727748871, 1.2407900094985962, -1.1931461095809937, -0.9896804690361023, 1.3025071620941162, -0.06708033382892609, 0.3589244782924652, -0.9718613624572754, -0.31453385949134827, -0.18938300013542175, 0.8238407969474792, 0.553115963935852, -1.4545176029205322, 0.4354994297027588, -1.2612563371658325, -0.14397861063480377, 0.1940660923719406, 2.168302059173584, 0.7493953704833984, 1.846053957939148, -0.9427251219749451, -1.4539180994033813, -0.12711858749389648, -0.9168565273284912]"
cnnhealth,2012,depressive guide christmas,1,12,5,"[-0.04561467468738556, -1.460438847541809, 0.6144081354141235, 0.3881714940071106, 0.5027555823326111, 1.2625184059143066, 0.643420934677124, 1.2196711301803589, -1.7952353954315186, -1.2680995464324951, 1.4876970052719116, -0.47697457671165466, 0.20067429542541504, -0.28769025206565857, 0.01893032155930996, -0.06508899480104446, 0.39292287826538086, 0.38754183053970337, -1.2374417781829834, 0.3611515760421753, -1.3188080787658691, -0.9488936066627502, 0.6721546649932861, 2.7850475311279297, -0.12114284932613373, 1.5990078449249268, -1.4220882654190063, -1.2683979272842407, -0.7374240159988403, -0.6754382848739624]"
cnnhealth,2012,brain want christmas,1,12,5,"[-0.18513593077659607, -1.0751092433929443, -0.22450776398181915, 0.09372468292713165, -0.16096937656402588, 0.36334845423698425, 0.666560173034668, -0.12000710517168045, -0.8182266354560852, -0.33778271079063416, 1.1527146100997925, 0.6303138136863708, -0.31542202830314636, -0.2648417353630066, -0.27377137541770935, 0.25702568888664246, 0.013598926365375519, -0.20002712309360504, -0.9593579769134521, 0.2232862412929535, -0.6659387350082397, -0.6038997769355774, 0.30402472615242004, 0.9959197044372559, -0.08621449768543243, -0.026331398636102676, -0.3955579996109009, -0.17250560224056244, -0.2079876810312271, -1.2851074934005737]"
cnnhealth,2012,exactly aspergers syndrome drsanjaygupta explains,1,12,4,"[0.8358386158943176, -1.2112122774124146, -0.15578114986419678, -0.12805865705013275, 0.23361343145370483, 0.13045746088027954, 1.4364129304885864, -0.4693011939525604, -0.14772890508174896, 0.4115307927131653, 0.41492557525634766, 1.1559295654296875, -0.3152954876422882, -0.7812681794166565, -0.06375905871391296, -0.2773546874523163, 0.4126323163509369, 0.285476952791214, -0.7958554029464722, 0.44186198711395264, -0.23926396667957306, -0.8089558482170105, 0.24562183022499084, 0.8937231302261353, 0.027107087895274162, -0.639680802822113, 0.8413233757019043, 0.26774466037750244, 0.047349393367767334, -0.9964120984077454]"
cnnhealth,2012,kid mental illness drsanjaygupta,5,12,4,"[-0.8261910080909729, -1.1386922597885132, 1.422081470489502, -0.1532338410615921, -0.18005625903606415, 1.1990915536880493, 0.7713271975517273, -0.3803112208843231, -1.2198750972747803, -0.6135070323944092, 1.3335057497024536, -0.1194181889295578, 0.16318465769290924, 0.08556565642356873, 0.19870883226394653, -0.6299839019775391, 0.8465710878372192, 0.5794298052787781, -0.6451452374458313, 0.5171228647232056, -0.6646692752838135, -0.1765749156475067, 0.41167503595352173, 1.3127219676971436, 0.6808887720108032, 0.7283544540405273, -0.34489667415618896, -1.174076795578003, -0.3480302095413208, -1.465402364730835]"
cnnhealth,2012,look like greatgrandkids still enjoy michaelphelps abs,1,12,4,"[0.26849111914634705, -0.10891348868608475, -0.09474794566631317, -0.20552460849285126, 0.19353508949279785, 0.11166268587112427, 0.9389609098434448, 0.4974061846733093, -0.5392377972602844, 0.7884895205497742, 0.6556885242462158, 0.7143023610115051, -0.09064115583896637, -0.541465163230896, -1.0007320642471313, -0.3494151830673218, -0.5220077037811279, 0.1528993397951126, -1.0242729187011719, 0.45697346329689026, 0.34561586380004883, -0.29579901695251465, 0.3834916055202484, 0.5709391832351685, 0.06520242989063263, -0.17154531180858612, 0.23623095452785492, 0.40436506271362305, 0.6727230548858643, -1.272377610206604]"
cnnhealth,2012,eat tip holiday traveler,1,12,4,"[-0.3059881329536438, -0.9232224822044373, 0.4758221507072449, -0.3047769367694855, -0.07143327593803406, 0.960428774356842, 0.6268889904022217, 0.25803640484809875, -0.6218569278717041, -0.2065781205892563, 1.342512845993042, 0.5031973719596863, -0.28782224655151367, -0.01992015726864338, -0.24214063584804535, 0.08715987205505371, -0.23884311318397522, 0.40866437554359436, -0.705353319644928, 0.48901990056037903, -0.5468289256095886, -0.6991151571273804, 0.4250886142253876, 1.1748584508895874, -0.023569190874695778, 0.16810227930545807, 0.09815449267625809, -0.7312625646591187, 0.10819162428379059, -1.27536940574646]"
cnnhealth,2012,editor aspergers like,1,12,4,"[0.26154324412345886, -0.8587523102760315, -0.12733694911003113, -0.356460839509964, 0.3763463497161865, 0.33390122652053833, 0.9708194732666016, 0.24682645499706268, -0.3483465611934662, 0.2782714068889618, 0.8154727816581726, 0.8997626900672913, -0.3188624978065491, -0.46364322304725647, -0.2037040740251541, -0.1565166860818863, 0.16344121098518372, 0.1350640058517456, -1.0630854368209839, 0.21730193495750427, -0.7174417972564697, -0.39051222801208496, 0.45316222310066223, 1.1145296096801758, -0.03568620607256889, -0.002842469373717904, 0.3078831732273102, 0.026105031371116638, 0.2151145339012146, -1.0239183902740479]"
cnnhealth,2012,opinion serious mental care,1,12,4,"[0.004332570359110832, -1.4433952569961548, 0.5617247223854065, 0.220528706908226, 0.8629584908485413, 0.9527667164802551, 0.1943330466747284, 0.8024870157241821, -1.4117798805236816, -1.3084537982940674, 1.6557977199554443, 0.430783212184906, 0.4291638135910034, -0.575318455696106, -0.7121137380599976, 0.16473683714866638, 0.31381329894065857, -1.6577372550964355, -0.7346094250679016, -0.7466254830360413, -0.473766952753067, -0.4369320869445801, 0.9605942368507385, 2.1123456954956055, 0.6404600739479065, 1.0847986936569214, -1.3013323545455933, -0.4015049338340759, -0.13933105766773224, -1.3636685609817505]"
cnnhealth,2012,past child shoot victim speak,1,12,3,"[-1.632348895072937, -0.931328296661377, -0.09475153684616089, -0.2250366061925888, -0.6860543489456177, -0.3626827895641327, 0.003188283182680607, -0.4875486493110657, -2.8616559505462646, 0.899483323097229, 1.8852424621582031, 0.6074956655502319, -1.10041344165802, 0.7056485414505005, 0.9186505675315857, 0.6481420397758484, -0.2219725251197815, 1.4443751573562622, -1.179273247718811, 0.4950289726257324, -0.8720867037773132, -1.6223496198654175, 0.3301873207092285, 0.05531913414597511, -1.9421544075012207, -0.5968154668807983, -0.9270346164703369, 1.46187162399292, -0.4206489622592926, -1.1908272504806519]"
cnnhealth,2012,concern generic painkiller increase,1,12,3,"[-0.031245235353708267, -1.192412257194519, 0.7175737619400024, -0.22535313665866852, -0.07909494638442993, 0.7611628174781799, 0.8740771412849426, 0.30729812383651733, -0.8817203640937805, -0.373281329870224, 0.790674090385437, -0.10021058470010757, -0.0017802974907681346, -0.41603362560272217, 0.3145819902420044, -0.37924307584762573, 0.46610987186431885, 0.4523067772388458, -1.0708199739456177, 0.7239820957183838, -1.3821825981140137, -0.6419232487678528, 0.4742113947868347, 1.7445769309997559, 0.0847877711057663, 1.1979886293411255, -0.2566405236721039, -0.8440911769866943, -0.2104935348033905, -0.7563583850860596]"
cnnhealth,2012,act quickly first sign heart attack,3,12,3,"[-1.1307477951049805, -1.719318151473999, -0.8271792531013489, 0.5634307861328125, 0.48933613300323486, -0.3790898621082306, -0.4477337896823883, 1.4435452222824097, -1.3288159370422363, -2.008897542953491, 2.3830738067626953, 1.7008401155471802, -0.11079837381839752, -1.5231226682662964, -1.716982126235962, 0.7847959399223328, 0.7807759642601013, -2.138043165206909, -1.759496808052063, -0.8066522479057312, -0.6087203025817871, 0.6155269145965576, 0.4915919005870819, 2.4338865280151367, 1.7707732915878296, 1.3605363368988037, -2.163566827774048, 0.6611388325691223, 0.024447839707136154, -1.7768603563308716]"
cnnhealth,2012,watch teen accuse play,1,12,3,"[0.7938187122344971, -0.11173049360513687, 0.13744422793388367, -0.09908448159694672, 0.25320765376091003, -0.025332225486636162, 0.7217927575111389, 0.08583579212427139, -0.22470349073410034, 0.2561010718345642, 0.799124002456665, 1.0936137437820435, 0.08899100869894028, -1.0124691724777222, 0.36323297023773193, -0.42379143834114075, 0.896279513835907, 0.16699659824371338, -0.8790338039398193, 0.5929215550422668, -0.08462370932102203, -0.15327833592891693, 0.4918171763420105, 0.906090497970581, 0.2234625220298767, -0.6443113088607788, 0.28240734338760376, 0.8998962044715881, 0.4665270447731018, -0.6009384989738464]"
cnnhealth,2012,kathivn cnnhealth great contribution misunderstand aspergers admire bravery,1,12,3,"[1.9815356731414795, 2.0637128353118896, 2.869386911392212, -0.5380843281745911, -1.2607600688934326, -1.0803865194320679, 1.101772427558899, -2.9337074756622314, -3.4991207122802734, 2.6104352474212646, 3.24219012260437, 3.3306901454925537, -0.35774943232536316, -1.992750644683838, 2.8128325939178467, -2.211977243423462, 1.1361567974090576, 2.0000710487365723, -1.4712210893630981, 1.326743245124817, 2.5916481018066406, -0.7655699253082275, 0.37750712037086487, 2.1923601627349854, 1.0660864114761353, -1.6651605367660522, -0.8302279710769653, 5.84694766998291, 3.4833216667175293, -4.93828821182251]"
cnnhealth,2012,boy grow killer,1,12,3,"[-0.6655489802360535, -0.08099473267793655, 0.6721592545509338, 0.037835367023944855, 1.322165608406067, 1.0035122632980347, -1.6040319204330444, 0.743503749370575, -1.0087854862213135, 1.555153250694275, -0.3619031310081482, 1.7481119632720947, -0.06397578120231628, -1.6882579326629639, -0.4609261751174927, -1.4434715509414673, -2.058685541152954, 0.009063806384801865, -1.0336157083511353, -2.9668476581573486, 1.786596655845642, 0.37311214208602905, 1.2906574010849, 1.457144856452942, 1.0833563804626465, 2.2860405445098877, 0.9995347261428833, -0.5426709055900574, 1.7443045377731323, -2.2182679176330566]"
cnnhealth,2012,pakistan polio worker kill campaign suspend,1,12,3,"[-0.1089092418551445, -1.507476568222046, 0.872348964214325, -0.15683960914611816, 0.49490731954574585, 1.4622265100479126, -0.045312341302633286, 1.4376951456069946, -1.5410877466201782, -0.9058718085289001, 1.415502905845642, 0.31541433930397034, 0.47596922516822815, -0.24645830690860748, -0.21464531123638153, -0.36455240845680237, 0.43314918875694275, -0.7088080644607544, -1.5108939409255981, -0.23021455109119415, -1.3122282028198242, -0.4093908369541168, 0.5901844501495361, 2.8718557357788086, 0.38070470094680786, 1.999504804611206, -1.322303056716919, -0.95567786693573, 0.18522416055202484, -1.0646779537200928]"
cnnhealth,2012,ireland clarify law abortion mother life,1,12,2,"[-0.01201737578958273, -0.4481232464313507, 0.23091284930706024, 0.10538780689239502, 0.42363712191581726, 0.4503137469291687, 0.4676608145236969, -0.0789366140961647, -0.5867568254470825, 0.1594441831111908, 0.8536341786384583, 0.618707001209259, 0.0541725791990757, -0.3338085114955902, -0.6612811088562012, -0.40334007143974304, 0.06840017437934875, -0.29473018646240234, -0.6855880618095398, 0.20514142513275146, 0.023150788620114326, -0.026086537167429924, 0.26346394419670105, 1.2412314414978027, 0.49892497062683105, 0.45527052879333496, 0.027966439723968506, -0.012218056246638298, 0.36411815881729126, -1.294381022453308]"
cnnhealth,2012,cjcoleman cnnhealth muscle burn calorie increase rest metabolism increase total fat burn lif,1,12,2,"[-0.3513953685760498, -0.9511038064956665, 0.713434100151062, 0.04161987826228142, 0.39226073026657104, 1.1637314558029175, -0.5481902956962585, 1.277559518814087, -1.0831298828125, -1.015480875968933, 1.7330764532089233, 0.7696698307991028, 0.32512935996055603, -0.631726086139679, -0.8169687390327454, -0.44900137186050415, 0.6643738746643066, -1.3964529037475586, -0.946166455745697, -0.804929256439209, -0.49419981241226196, 0.15842510759830475, 0.4088731110095978, 2.296034097671509, 1.1911195516586304, 1.4311636686325073, -1.3156558275222778, -0.47270888090133667, 0.3539004623889923, -1.4605045318603516]"
cnnhealth,2012,weightloss tip cardio burn fat weight lift,1,12,2,"[0.6369280219078064, -0.993120014667511, 0.6346974968910217, -0.29416975378990173, 0.548233151435852, 0.778752863407135, 0.5845498442649841, 0.6060647964477539, -0.7531104683876038, -0.832133948802948, 0.5748816728591919, 0.24449987709522247, 0.12841971218585968, -0.8025573492050171, -0.17540644109249115, -0.6011411547660828, 0.6085690259933472, 0.2600749731063843, -1.0006637573242188, 0.5242547392845154, -0.9700939059257507, -0.6051531434059143, 0.6101301312446594, 1.6760904788970947, 0.09314655512571335, 0.8071579337120056, -0.50938481092453, -0.6876171231269836, -0.1474326252937317, -0.9353117942810059]"
cnnhealth,2012,anarchist soccer mom cry,1,12,2,"[-0.8799318075180054, -0.13908502459526062, -0.8236624598503113, 0.8546441197395325, -0.30930274724960327, -0.47980889678001404, 0.8945331573486328, -0.6378788352012634, -1.7786437273025513, 1.4336585998535156, 1.9490511417388916, 0.7260457277297974, -0.8764894008636475, 0.33952802419662476, -0.9994446039199829, 0.4096370041370392, -1.369539737701416, 0.6618425846099854, -1.0666992664337158, 0.9752210974693298, 0.7871546745300293, -1.0278388261795044, -0.24732662737369537, 0.28260964155197144, -1.4967504739761353, -0.4972395598888397, 0.09986650198698044, 1.7944926023483276, -0.08345699310302734, -1.71634042263031]"
cnnhealth,2012,tragedy dont ob heal gently,1,12,2,"[-0.6176695227622986, -1.1459487676620483, 1.108462929725647, 0.6117725372314453, 1.2314473390579224, 2.1413955688476562, -0.11544427275657654, 1.8891361951828003, -2.040233612060547, -2.1193137168884277, 1.2246333360671997, 1.3073698282241821, -0.23775173723697662, -1.9390685558319092, -0.2977072596549988, -0.46887439489364624, 0.4253188967704773, -1.3928953409194946, -0.7497933506965637, 0.28866681456565857, -0.6515296697616577, -1.1197632551193237, 0.2382468730211258, 3.3776025772094727, 0.7934462428092957, 1.5934239625930786, -2.2947659492492676, -1.895614743232727, -0.7989910244941711, -1.6438628435134888]"
cnnhealth,2012,group autism blame violence,1,12,1,"[0.44007641077041626, -1.1218667030334473, -0.025569723919034004, -0.22470280528068542, 0.6185481548309326, 0.16032558679580688, 0.9869760274887085, 1.365688681602478, -0.407052606344223, -0.41269826889038086, 0.7169126272201538, 0.9595073461532593, 0.03598714992403984, -1.0384145975112915, -0.936633288860321, -0.247989684343338, 0.3459341824054718, -0.378553181886673, -1.2389616966247559, -0.10903584957122803, -0.4804246127605438, 0.004992988426238298, 0.7854953408241272, 1.7319010496139526, 0.3050127327442169, 0.6689971685409546, -0.08945024758577347, 0.2900112569332123, -0.07940397411584854, -0.5655467510223389]"
cnnhealth,2012,philippine house pass reproductive bill,1,12,1,"[-0.8296656608581543, -0.5640988349914551, 0.8193448781967163, -0.008640755899250507, -0.3566857576370239, 0.4310864210128784, 0.19447767734527588, -0.15906617045402527, -1.0874961614608765, -0.22040852904319763, 1.12953519821167, 0.5729774832725525, 0.1447020173072815, -0.4273594915866852, -0.35435035824775696, -0.7115116119384766, 0.5117197632789612, 0.0974009782075882, -0.5150774717330933, 0.5979793667793274, -0.1019907146692276, -0.30125999450683594, 0.22127874195575714, 1.0286000967025757, 0.6133608818054199, 0.23290786147117615, -0.42348140478134155, -0.3583974838256836, 0.3536633551120758, -0.9553875923156738]"
